name,dail,prev
Fry, Keep that thing away from me!, You gotta do what you gotta do. Now hold out your hand. I'm gonna implant your career chip. It'll permanently label you as a delivery boy.
Leela, You've got until the count of five to let me out of here. One--, Keep that thing away from me!
Fry, You owe me one., You've got until the count of five to let me out of here. One--
Fry, Whoa!, You owe me one.
Man 1, JFK Jr. Airport., Whoa!
Man, #1., JFK Jr. Airport.
Fry, Um. Cross Town Express?, #1.
Man 2, Pft! Tourist!, Um. Cross Town Express?
Fry, Wow! A real live robot! Or is that some kind of cheesy New Year's costume?, Pft! Tourist!
Bender,, Wow! A real live robot! Or is that some kind of cheesy New Year's costume?
Fry, It doesn't look so shiny to me.,
Bender," Shinier than yours, meatbag!", It doesn't look so shiny to me.
Bender," Listen, buddy, I'm in a hurry here. Let's try for a two-fer!"," Shinier than yours, meatbag!"
Booth Voice, Please select mode of death," Listen, buddy, I'm in a hurry here. Let's try for a two-fer!"
Fry," Yeah, I'd like to place a collect call.", Please select mode of death
Booth Voice, You have selected," Yeah, I'd like to place a collect call."
Bender," Bring it on, baby!", You have selected
Bender," C'mon, c'mon! Kill me already! By the way, my name's Bender!"," Bring it on, baby!"
Fry, Help! What's happening?," C'mon, c'mon! Kill me already! By the way, my name's Bender!"
Booth Voice," You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008.", Help! What's happening?
Bender," Well, I didn't have anything else planned for today. Let's go get drunk!"," You are now dead. Thank you for using Stop-N-Drop, America's favourite suicide booth since 2008."
Leela," Two, three-- Hey!"," Well, I didn't have anything else planned for today. Let's go get drunk!"
Terry, Welcome to the world of tomorrow!," Two, three-- Hey!"
Leela," Shut up, Terry.", Welcome to the world of tomorrow!
Ipgee," This is unacceptable, Leela. You must find this Mr. Fry and install his chip."," Shut up, Terry."
Leela," Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him."," This is unacceptable, Leela. You must find this Mr. Fry and install his chip."
Ipgee, Life is good!," Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him."
Fry, Why would a robot need to drink?, Life is good!
Bender," So they made you a delivery boy, huh? Man, that's as bad as my job.", Why would a robot need to drink?
Fry," Really? What do you do, Bender?"," So they made you a delivery boy, huh? Man, that's as bad as my job."
Bender," I'm a bender. I bend girders, that's all I'm programmed to do."," Really? What do you do, Bender?"
Fry, You any good at it?," I'm a bender. I bend girders, that's all I'm programmed to do."
Bender, You kidding? I was a star! I could bend a girder to any angle, You any good at it?
Fry, What?, You kidding? I was a star! I could bend a girder to any angle
Bender," Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.", What?
Fry, Wait! You're the only friend I have!," Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself."
Bender, You really want a robot for a friend?, Wait! You're the only friend I have!
Fry," Yeah, ever since I was six.", You really want a robot for a friend?
Bender," Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger."," Yeah, ever since I was six."
Fry, Don't look! Don't look!," Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger."
Bender, I'm not looking!, Don't look! Don't look!
Leela, This is officer 1B-DI requesting back-up., I'm not looking!
Smitty, We'll be there in five minutes., This is officer 1B-DI requesting back-up.
Bender, We can hide in here. It's free on Tuesdays!, We'll be there in five minutes.
Nimoy, Welcome to the Head Museum. I'm Leonard Nimoy., We can hide in here. It's free on Tuesdays!
Fry, Spock? Hey! Hey... Do the thing!, Welcome to the Head Museum. I'm Leonard Nimoy.
Nimoy, I don't do that anymore., Spock? Hey! Hey... Do the thing!
Fry, This is unbelievable! What do you heads do all day?, I don't do that anymore.
Nimoy, We share our wisdom with those who seek it. It's a life of quiet dignity., This is unbelievable! What do you heads do all day?
Woman, Feeding time!, We share our wisdom with those who seek it. It's a life of quiet dignity.
Leela," I'm sorry, Fry, but I have to install your career chip.", Feeding time!
Fry," Yeah, well, if you're sorry why are you doing it?"," I'm sorry, Fry, but I have to install your career chip."
Leela, Watch it!," Yeah, well, if you're sorry why are you doing it?"
Nixon, That's it! You just made my list!, Watch it!
Fry," Ow! Stop it! Down, boy! Bad president!", That's it! You just made my list!
Smitty," Alright, buddy, step away from the head!"," Ow! Stop it! Down, boy! Bad president!"
URL, on his ass!," Alright, buddy, step away from the head!"
Leela," Please, officers, there's no need to use force.", on his ass!
URL," Let us handle this, weird-y."," Please, officers, there's no need to use force."
Leela," Oh, come on, he's just a poor kid from the Stupid Ages."," Let us handle this, weird-y."
Smitty,," Oh, come on, he's just a poor kid from the Stupid Ages."
Leela, No-one makes fun of my nose.,
URL, Damn!, No-one makes fun of my nose.
Leela, You guys were totally out of control., Damn!
Smitty, It's our job. We're peace officers., You guys were totally out of control.
URL," Yeah, you know the law", It's our job. We're peace officers.
Bender," Oh, we're trapped!"," Yeah, you know the law"
Fry," Wait a second. You're a bender, right? We can get out of here if you just bend the bars."," Oh, we're trapped!"
Bender," Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?"," Wait a second. You're a bender, right? We can get out of here if you just bend the bars."
Fry, Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?," Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?"
Bender, I'll have to check my program ... yep., Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
Leela, Open up!, I'll have to check my program ... yep.
Fry," C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots.", Open up!
Bender," You make a persuasive argument, Fry."," C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots."
Fry," Come on, Bender! You can do it."," You make a persuasive argument, Fry."
Bender, Can't ... I ... can't ... do ... it!," Come on, Bender! You can do it."
Fry, Yes!, Can't ... I ... can't ... do ... it!
Bender, I want! I'm unstoppable!, Yes!
Fry, I don't know how you did that., I want! I'm unstoppable!
Leela, Wait!, I don't know how you did that.
Bender," No, thanks.", Wait!
Bender, Looks like one of us will have to bend this grate.," No, thanks."
Fry, Good Lord! What is this?, Looks like one of us will have to bend this grate.
Bender," Welcome home, pal!", Good Lord! What is this?
Fry," It's my old neighbourhood. Man, this brings back a lot of memories."," Welcome home, pal!"
Bender," Keep 'em to yourself, Pops!"," It's my old neighbourhood. Man, this brings back a lot of memories."
Fry, This is where I brought my girlfriend on our very first date.," Keep 'em to yourself, Pops!"
Fry, My God! She's gone. Everyone I ever knew or cared about is gone., This is where I brought my girlfriend on our very first date.
Bender, Wait! There's someone you know!, My God! She's gone. Everyone I ever knew or cared about is gone.
Fry," Oh, can't you leave me alone? I'm miserable enough already.", Wait! There's someone you know!
Leela," Look, I know it's not much consolation but I understand how you feel."," Oh, can't you leave me alone? I'm miserable enough already."
Fry," No, you don't. I've got no home, no family--"," Look, I know it's not much consolation but I understand how you feel."
Bender, No friends.," No, you don't. I've got no home, no family--"
Fry, My whole world is gone. You can't possibly understand what it feels like to be so alone., No friends.
Leela, I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone., My whole world is gone. You can't possibly understand what it feels like to be so alone.
Fry, Your chip. What are you doing?, I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
Leela, Quitting., Your chip. What are you doing?
Fry, Why?, Quitting.
Leela, Because I've always wanted to. I just never realised it before I met you., Why?
Fry, What is the matter with you?, Because I've always wanted to. I just never realised it before I met you.
Bender, I just wanted to be part of the moment., What is the matter with you?
Leela, Hey! He stole my ring!, I just wanted to be part of the moment.
Bender," Well, that solves the mystery of the missing ring. This calls for a drink.", Hey! He stole my ring!
Leela, I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.," Well, that solves the mystery of the missing ring. This calls for a drink."
Fry, Correction, I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
Clark,, Correction
Farnsworth, Who are you?,
Fry, I'm your dear old Uncle Fry., Who are you?
Farnsworth, I don't have an Uncle Fry., I'm your dear old Uncle Fry.
Bender, You do now!, I don't have an Uncle Fry.
Farnsworth, your nephew! This is absolutely incredible!, You do now!
Bender, Can we have some money?, your nephew! This is absolutely incredible!
Farnsworth," Oh, my, no.", Can we have some money?
Farnsworth, And here's where I keep assorted lengths of wire.," Oh, my, no."
Fry, Whoa! A real live spaceship!, And here's where I keep assorted lengths of wire.
Farnsworth, I designed it myself. Let me show you some of the different lengths of wire I used., Whoa! A real live spaceship!
Smitty," Attention, job deserters! Come out with your hands up. We have you partially surrounded.", I designed it myself. Let me show you some of the different lengths of wire I used.
Fry, No!," Attention, job deserters! Come out with your hands up. We have you partially surrounded."
Nixon, Get those bums!, No!
Bender,, Get those bums!
Leela, Can't we get away in the ship?,
Farnsworth,, Can't we get away in the ship?
Fry, I'll get us out of here.,
Farnsworth, Can anyone drive stick?, I'll get us out of here.
Leela, I can. As long as I don't have to parallel park., Can anyone drive stick?
URL," If they try to take off, give 'em an ass-ful of laser.", I can. As long as I don't have to parallel park.
Leela, Prepare for lift-off. Ten.," If they try to take off, give 'em an ass-ful of laser."
Crowd, Nine!, Prepare for lift-off. Ten.
Crowd, Amania!, Nine!
Crowd, Seven!, Amania!
Aliens, Six., Seven!
Terry, Five!, Six.
Nimoy, Four., Five!
Farnsworth, Three., Four.
Bender, Two., Three.
Leela, One!, Two.
Fry, Blast-off!, One!
Nixon,, Blast-off!
Smitty, I can't see nothing. Pretty though!,
Fry," So, I guess, without jobs, we'll be fugitives forever.", I can't see nothing. Pretty though!
Farnsworth," Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?"," So, I guess, without jobs, we'll be fugitives forever."
Bender, New crew? W-What happened to the old crew?," Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?"
Farnsworth, Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?, New crew? W-What happened to the old crew?
Fry, That's exactly the job I've always wanted!, Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?
Leela," Thanks for the offer, Professor, but we don't have the proper career chips.", That's exactly the job I've always wanted!
Farnsworth," Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew."," Thanks for the offer, Professor, but we don't have the proper career chips."
Fry,," Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew."
Farnsworth," If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research.",
Fry, Cool! What's my job gonna be?," If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research."
Farnsworth, You will be responsible for ensuring that the cargo reaches its destination., Cool! What's my job gonna be?
Fry," So, I'm gonna be a delivery boy?", You will be responsible for ensuring that the cargo reaches its destination.
Farnsworth, Exactly!," So, I'm gonna be a delivery boy?"
Fry, Alright! I'm a delivery boy!, Exactly!
Farnsworth,, Alright! I'm a delivery boy!
Fry, Wow!,
Farnsworth," Not on the same channel, of course.", Wow!
Announcer, Interplanetary deliveries - what a headache!," Not on the same channel, of course."
Horrible Gelatinous Blob, Evans! Where's that package from Earth?, Interplanetary deliveries - what a headache!
Man, I'm not Evans!, Evans! Where's that package from Earth?
Horrible, Gelatinous Blob!, I'm not Evans!
Announcer," When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery.", Gelatinous Blob!
Evans," Here's your package, Mr. Horrible Gelatinous Blob."," When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery."
Horrible Gelatinous Blob," Good work, Evans! You've got a future around here."," Here's your package, Mr. Horrible Gelatinous Blob."
Evans," Thank you, sir!"," Good work, Evans! You've got a future around here."
Announcer, Planet Express," Thank you, sir!"
Fry, Are there really giant birds like that?, Planet Express
Farnsworth," No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.", Are there really giant birds like that?
Fry,," No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs."
Leela,,
Farnsworth," Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you.",
Hermes, Someone come and dropped this package through the slot last night. Now which one of you is the captain?," Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you."
Farnsworth," Oh, my! I haven't picked a new captain yet. It's always so hard to choose.", Someone come and dropped this package through the slot last night. Now which one of you is the captain?
Fry," Ooh! Ooh, ooh, ooh!"," Oh, my! I haven't picked a new captain yet. It's always so hard to choose."
Farnsworth," Hmm, you!"," Ooh! Ooh, ooh, ooh!"
Hermes," OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen."," Hmm, you!"
Leela, Death by airlock failure.," OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen."
Hermes, Mm., Death by airlock failure.
Leela, Death by brain parasite., Mm.
Hermes, Yeah., Death by brain parasite.
Leela,, Yeah.
Hermes," Oh, you don't want that!",
Leela," Look, I don't know about any of your previous captains but I intend to do as little dying as possible."," Oh, you don't want that!"
Hermes, Sign the paper!," Look, I don't know about any of your previous captains but I intend to do as little dying as possible."
Farnsworth," Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual. He wears sandals!", Sign the paper!
Fry, Hi--," Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual. He wears sandals!"
Farnsworth," Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.", Hi--
Zoidberg," Excellent, excellent!"," Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical."
Farnsworth, You'll be fine.," Excellent, excellent!"
Zoidberg, mouth!, You'll be fine.
Fry, I only have one., mouth!
Zoidberg, Really?, I only have one.
Fry," Uh, is there a human doctor around?", Really?
Zoidberg, My mother was a saint! Get out!," Uh, is there a human doctor around?"
Farnsworth," Dear Lord, Bender, you're filthy.", My mother was a saint! Get out!
Bender," Yeah, like you don't have crap in your neck!"," Dear Lord, Bender, you're filthy."
Farnsworth," Amy, why don't you give his body a going over with the cleaning pick?"," Yeah, like you don't have crap in your neck!"
Amy, OK. Does it hurt when I go like this?," Amy, why don't you give his body a going over with the cleaning pick?"
Leela, Ow!, OK. Does it hurt when I go like this?
Bender, A little., Ow!
Fry," Well, the doctor says I'm as healthy as a crab. Can I go into space now?", A little.
Farnsworth," As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. I like having her around because she's the same blood type as me."," Well, the doctor says I'm as healthy as a crab. Can I go into space now?"
Amy, right?," As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. I like having her around because she's the same blood type as me."
Fry, Last time I checked., right?
Leela,, Last time I checked.
Amy," Look, we're not as rich as everybody says.",
Leela, Uh-huh! What sorority do you belong to?," Look, we're not as rich as everybody says."
Amy,, Uh-huh! What sorority do you belong to?
Bender," Alright, show's over, I'm tired.",
Farnsworth," Ah, to be young again. And also a robot. Now, as I recall, you youngsters have a package to deliver."," Alright, show's over, I'm tired."
Fry," Finally! Come on, Bender. Let's mosey!"," Ah, to be young again. And also a robot. Now, as I recall, you youngsters have a package to deliver."
Bender," Nice catch, idiot!"," Finally! Come on, Bender. Let's mosey!"
Fry, So where are we going anyway?," Nice catch, idiot!"
Leela,, So where are we going anyway?
Fry, and those other brave guys no one ever heard of!,
Amy," Oh, I love stuff like the moon! Can I come, Leela?", and those other brave guys no one ever heard of!
Leela, day as captain.," Oh, I love stuff like the moon! Can I come, Leela?"
Farnsworth," If something goes wrong, bring back the blood.", day as captain.
Fry, Can I do the countdown?," If something goes wrong, bring back the blood."
Leela," Huh? Oh, sure. Knock yourself out.", Can I do the countdown?
Fry, ... nine--," Huh? Oh, sure. Knock yourself out."
Leela," OK, we're here!", ... nine--
Fry, Eightsevensixfivefourthreetwooneblastoff!," OK, we're here!"
Fry, Hurry up! I wanna see the moon!, Eightsevensixfivefourthreetwooneblastoff!
Leela, Relax. It's open till 9., Hurry up! I wanna see the moon!
Fry, That's one small step for Fry--, Relax. It's open till 9.
Man, And one giant line for admission!, That's one small step for Fry--
Fry," Um, can I have cuts?", And one giant line for admission!
Man, Hmm ... no!," Um, can I have cuts?"
Fry, You're not gonna believe this but they landed an amusement park on the moon!, Hmm ... no!
Amy, It's the happiest place orbiting Earth., You're not gonna believe this but they landed an amusement park on the moon!
Fry," Let's go, already!", It's the happiest place orbiting Earth.
Leela," Fry, we have a crate to deliver."," Let's go, already!"
Fry, Let's just dump it in the sewer and say we delivered it.," Fry, we have a crate to deliver."
Bender, Too much work. Let's burn it and say we dumped it in the sewer., Let's just dump it in the sewer and say we delivered it.
Leela," OK, if everyone's finished being stupid--", Too much work. Let's burn it and say we dumped it in the sewer.
Fry, I had more but you go ahead.," OK, if everyone's finished being stupid--"
Leela, We'll deliver that crate like professionals and then we'll go home., I had more but you go ahead.
Fry, But I've never been to the moon before., We'll deliver that crate like professionals and then we'll go home.
Leela," Amy, why don't you help Fry hoist down the crate. Then lock up when you're done. Just be careful.", But I've never been to the moon before.
Amy," Aye, aye, Captain! I mean only one eye. I mean, yes, sir-- Um, ma'am!"," Amy, why don't you help Fry hoist down the crate. Then lock up when you're done. Just be careful."
Amy, Clear?," Aye, aye, Captain! I mean only one eye. I mean, yes, sir-- Um, ma'am!"
Fry, Clear!, Clear?
Amy, Ready to hoist?, Clear!
Fry, Ready!, Ready to hoist?
Amy, Ow!, Ready!
Fry, My first space delivery., Ow!
Fry," Uh, greetings, Moon Man. We come in peace. I am Fry from the planet Earth.", My first space delivery.
Sal," Wise guy, huh? If I wasn't so lazy I'd punch you in the stomach."," Uh, greetings, Moon Man. We come in peace. I am Fry from the planet Earth."
Fry," But you are lazy, right?"," Wise guy, huh? If I wasn't so lazy I'd punch you in the stomach."
Sal," Oh, don't get me started."," But you are lazy, right?"
Craterface," Hi, I'm Craterface! Welcome to Luna Park. I'll have to confiscate your alcohol, sir."," Oh, don't get me started."
Bender, Better mascots than you have tried.," Hi, I'm Craterface! Welcome to Luna Park. I'll have to confiscate your alcohol, sir."
Craterface, At least I still have my self respect!, Better mascots than you have tried.
Leela, Who buys this trash?, At least I still have my self respect!
Bender, who need gifts for other idiots., Who buys this trash?
Fry," Hey, I got you guys refrigerator magnets.", who need gifts for other idiots.
Bender, Keep those things off of me! Magnets screw up my inhibition unit!," Hey, I got you guys refrigerator magnets."
Fry, So you flip out and start acting like some crazy folk singer?, Keep those things off of me! Magnets screw up my inhibition unit!
Bender, Yes. I guess a robot would have to be crazy to wanna be a folk singer., So you flip out and start acting like some crazy folk singer?
Whalerbots,, Yes. I guess a robot would have to be crazy to wanna be a folk singer.
And, sing our whaling tune!,
Whalerbot," Bender, hey, Bender! Over here!", sing our whaling tune!
Bender," Oh, jeez! I went to high school with that guy!"," Bender, hey, Bender! Over here!"
Announcer presents, The Goophy Gopher Revue!," Oh, jeez! I went to high school with that guy!"
Gopher 1, Why does a moon rock taste better than an Earth rock?, The Goophy Gopher Revue!
Gopher 2, Because it's a little meteor!, Why does a moon rock taste better than an Earth rock?
Fry, This is weak!, Because it's a little meteor!
Gopher 1, Address all complaints to the Monsanto corporation., This is weak!
Leela," What's wrong, Fry?", Address all complaints to the Monsanto corporation.
Fry, what I came to see! I wanna go out there and jump around like an astronaut. Screw this phoney stuff!," What's wrong, Fry?"
Leela, But the phoney stuff is what's fun. It's boring out there., what I came to see! I wanna go out there and jump around like an astronaut. Screw this phoney stuff!
Bender, Yeah! You're the kind of guy who visits Jerusalem and doesn't want to see the Sexeteria!, But the phoney stuff is what's fun. It's boring out there.
Leela, Maybe I should take Fry on the Luna Rover ride. You get to wear a space suit and drive around on the surface. And the line's short because it's educational., Yeah! You're the kind of guy who visits Jerusalem and doesn't want to see the Sexeteria!
Fry, educational it is. Let's do it!, Maybe I should take Fry on the Luna Rover ride. You get to wear a space suit and drive around on the surface. And the line's short because it's educational.
Bender, Next year in Jerusalem!, educational it is. Let's do it!
Fry, Finally! Get ready for some serious moon action., Next year in Jerusalem!
Narrator, The story of lunar exploration started with one man. A man with a dream., Finally! Get ready for some serious moon action.
Ralph Kramdenbot," One of these days, Alice. Bang! Zoom! Straight to the moon!", The story of lunar exploration started with one man. A man with a dream.
Leela," Wow, I never realised the first astronauts were so fat!"," One of these days, Alice. Bang! Zoom! Straight to the moon!"
Fry," That's not an astronaut, it's a TV comedian. And he was just using space travel as a metaphor for beating his wife."," Wow, I never realised the first astronauts were so fat!"
Amy, Hm?," That's not an astronaut, it's a TV comedian. And he was just using space travel as a metaphor for beating his wife."
Bender," Look, it's that crate we were gonna throw in the sewer.", Hm?
Amy, They must have fallen into the crate! Leela's gonna kill me!," Look, it's that crate we were gonna throw in the sewer."
Bender, Nah. She'll probably make me do it., They must have fallen into the crate! Leela's gonna kill me!
Amy, Mister? Could you please get those keys out for me?, Nah. She'll probably make me do it.
Sal, What do I look like? A guy who's not lazy?, Mister? Could you please get those keys out for me?
Narrator," No one knows where, when or how Man first landed on the moon.", What do I look like? A guy who's not lazy?
Fry, I do.," No one knows where, when or how Man first landed on the moon."
Narrator think it might have happened something like this,, I do.
Whalerbots," We're whalers on the moon,",
Gophers," We carry a harpoon,"," We're whalers on the moon,"
Whalerbots, and  But there ain't no whales so we tell a tall tale...," We carry a harpoon,"
Leela, And sing a whaling tune. We're whalers on the moon--, and  But there ain't no whales so we tell a tall tale...
Fry, That's not how it happened., And sing a whaling tune. We're whalers on the moon--
Leela, with a fun-gineering degree!, That's not how it happened.
Fry, moon., with a fun-gineering degree!
Leela," Fry, no. This is my first mission and I'm not gonna let us get in any trouble. Besides, the car's on a track.", moon.
Fry, Not for long!," Fry, no. This is my first mission and I'm not gonna let us get in any trouble. Besides, the car's on a track."
Whalerbot, Ooh! Ah! I died doin' what I loved., Not for long!
Leela," OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?", Ooh! Ah! I died doin' what I loved.
Fry, Yeah! Crank up the radio!," OK, you're on the surface. Now I'll give you 10 minutes. Then you'll get bored, turn around and apologise for being such a jerk. Agreed?"
Whalerbots, We're whalers on the--, Yeah! Crank up the radio!
Fry, Yee-haw!, We're whalers on the--
Leela, Time's up. Make a U-turn at the next crater., Yee-haw!
Fry," No, not yet. How 'bout we go look for the original moon landing site?", Time's up. Make a U-turn at the next crater.
Leela, That's crazy! It's been lost for centuries!," No, not yet. How 'bout we go look for the original moon landing site?"
Fry, Uh ... I'm ready to go back now., That's crazy! It's been lost for centuries!
Fry, You did it! We're safe!, Uh ... I'm ready to go back now.
Leela, we're gonna die., You did it! We're safe!
Fry, It's every man for himself., we're gonna die.
Bender," Hey, look what I won from a tourist's pocket!", It's every man for himself.
Amy, Shut up. You're distracting me.," Hey, look what I won from a tourist's pocket!"
Bender," Come on, it's just like making love. Y'know", Shut up. You're distracting me.
Amy, how to make love!," Come on, it's just like making love. Y'know"
Bender," Uh, that's the woman who programmed me for evil!", how to make love!
Bender," Yeah, well, I'm gonna go build my own theme park, with blackjack and hookers. In fact, forget the park!"," Uh, that's the woman who programmed me for evil!"
Fry," I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there."," Yeah, well, I'm gonna go build my own theme park, with blackjack and hookers. In fact, forget the park!"
Leela, Thank God!," I'm sorry, Leela, I can't go on any further. Just leave me to die in that barn over there."
Hydroponic Farmer," Trespassers, eh?", Thank God!
Fry," No, sir. We're amusement park patrons."," Trespassers, eh?"
Farmer," Ooh, that's a wicked sinful place. Tilt-a-whirl's OK, but the rest is mighty wicked."," No, sir. We're amusement park patrons."
Leela, Our car broke down and we're out of oxygen. Can we borrow some?," Ooh, that's a wicked sinful place. Tilt-a-whirl's OK, but the rest is mighty wicked."
Farmer," Huh, borry? Looky here, city girl, oxygen don't grow on trees. You'll have to earn it doing chores on my hydroponic farm. You can go back to your precious theme park at sun up.", Our car broke down and we're out of oxygen. Can we borrow some?
