,0,raw,name
83,"Leela: Shut up, Terry.
","Leela: Shut up, Terry.
",Leela
84,"Ipgee: This is unacceptable, Leela. You must find this Mr. Fry and install his chip.
","Ipgee: This is unacceptable, Leela. You must find this Mr. Fry and install his chip.
",Ipgee
85,"Leela: Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.
","Leela: Look, he's just a nobody who doesn't want to be a delivery boy. I'd really rather not force it on him.
",Leela
86,"Ipgee Life is good!
","Ipgee Life is good!
","Ipgee Life is good!
"
87,"Fry: Why would a robot need to drink?
","Fry: Why would a robot need to drink?
",Fry
88,"Bender So they made you a delivery boy, huh? Man, that's as bad as my job.
","Bender So they made you a delivery boy, huh? Man, that's as bad as my job.
","Bender So they made you a delivery boy, huh? Man, that's as bad as my job.
"
89,"Fry: Really? What do you do, Bender?
","Fry: Really? What do you do, Bender?
",Fry
90,"Bender: I'm a bender. I bend girders, that's all I'm programmed to do.
","Bender: I'm a bender. I bend girders, that's all I'm programmed to do.
",Bender
91,"Fry: You any good at it?
","Fry: You any good at it?
",Fry
92,"Bender: You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! 31. But I couldn't go on living once I found out what the girders were for.
","Bender: You kidding? I was a star! I could bend a girder to any angle: 30 degrees, 32 degrees, you name it! 31. But I couldn't go on living once I found out what the girders were for.
",Bender
93,"Fry: What?
","Fry: What?
",Fry
94,"Bender Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.
","Bender Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.
","Bender Well, Fry, it was a pleasure meeting you. I'm gonna go kill myself.
"
95,"Fry: Wait! You're the only friend I have!
","Fry: Wait! You're the only friend I have!
",Fry
96,"Bender: You really want a robot for a friend?
","Bender: You really want a robot for a friend?
",Bender
97,"Fry: Yeah, ever since I was six.
","Fry: Yeah, ever since I was six.
",Fry
98,"Bender: Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger.
","Bender: Well, OK. But I don't want people thinking we're robo-sexuals. So, if anyone asks, you're my debugger.
",Bender
99,"Fry Don't look! Don't look!
","Fry Don't look! Don't look!
","Fry Don't look! Don't look!
"
100,"Bender: I'm not looking!
","Bender: I'm not looking!
",Bender
101,"Leela: This is officer 1B-DI requesting back-up.
","Leela: This is officer 1B-DI requesting back-up.
",Leela
102,"Smitty: We'll be there in five minutes.
","Smitty: We'll be there in five minutes.
",Smitty
103,"Bender: We can hide in here. It's free on Tuesdays!
","Bender: We can hide in here. It's free on Tuesdays!
",Bender
104,"Nimoy: Welcome to the Head Museum. I'm Leonard Nimoy.
","Nimoy: Welcome to the Head Museum. I'm Leonard Nimoy.
",Nimoy
105,"Fry: Spock? Hey! Hey... Do the thing!
","Fry: Spock? Hey! Hey... Do the thing!
",Fry
106,"Nimoy: I don't do that anymore.
","Nimoy: I don't do that anymore.
",Nimoy
107,"Fry: This is unbelievable! What do you heads do all day?
","Fry: This is unbelievable! What do you heads do all day?
",Fry
108,"Nimoy: We share our wisdom with those who seek it. It's a life of quiet dignity.
","Nimoy: We share our wisdom with those who seek it. It's a life of quiet dignity.
",Nimoy
109,"Woman: Feeding time!
","Woman: Feeding time!
",Woman
110,"Leela I'm sorry, Fry, but I have to install your career chip.
","Leela I'm sorry, Fry, but I have to install your career chip.
","Leela I'm sorry, Fry, but I have to install your career chip.
"
111,"Fry: Yeah, well, if you're sorry why are you doing it?
","Fry: Yeah, well, if you're sorry why are you doing it?
",Fry
112,"Leela Watch it!
","Leela Watch it!
","Leela Watch it!
"
113,"Nixon: That's it! You just made my list!
","Nixon: That's it! You just made my list!
",Nixon
114,"Fry: Ow! Stop it! Down, boy! Bad president!
","Fry: Ow! Stop it! Down, boy! Bad president!
",Fry
115,"Smitty: Alright, buddy, step away from the head!
","Smitty: Alright, buddy, step away from the head!
",Smitty
116,"URL on his ass!
","URL on his ass!
","URL on his ass!
"
117,"Leela: Please, officers, there's no need to use force.
","Leela: Please, officers, there's no need to use force.
",Leela
118,"URL: Let us handle this, weird-y.
","URL: Let us handle this, weird-y.
",URL
119,"Leela: Oh, come on, he's just a poor kid from the Stupid Ages.
","Leela: Oh, come on, he's just a poor kid from the Stupid Ages.
",Leela
120,"Smitty!
","Smitty!
","Smitty!
"
121,"Leela: No-one makes fun of my nose.
","Leela: No-one makes fun of my nose.
",Leela
122,"URL: Damn!
","URL: Damn!
",URL
123,"Leela: You guys were totally out of control.
","Leela: You guys were totally out of control.
",Leela
124,"Smitty: It's our job. We're peace officers.
","Smitty: It's our job. We're peace officers.
",Smitty
125,"URL: Yeah, you know the law: You gotta do what you gotta do.
","URL: Yeah, you know the law: You gotta do what you gotta do.
",URL
126,"Bender: Oh, we're trapped!
","Bender: Oh, we're trapped!
",Bender
127,"Fry: Wait a second. You're a bender, right? We can get out of here if you just bend the bars.
","Fry: Wait a second. You're a bender, right? We can get out of here if you just bend the bars.
",Fry
128,"Bender: Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?
","Bender: Dream on, skin tube. I'm only programmed to bend for constructive purposes. What do I look like, a de-bender?
",Bender
129,"Fry: Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
","Fry: Who cares what you're programmed for. If someone programmed you to jump off a bridge would you do it?
",Fry
130,"Bender: I'll have to check my program ... yep.
","Bender: I'll have to check my program ... yep.
",Bender
131,"Leela: Open up!
","Leela: Open up!
",Leela
132,"Fry: C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots.
","Fry: C'mon, Bender! It's up to you to make your own decisions in life. That's what separates people and robots from animals ... and animal robots.
",Fry
133,"Bender You make a persuasive argument, Fry.
","Bender You make a persuasive argument, Fry.
","Bender You make a persuasive argument, Fry.
"
134,"Fry: Come on, Bender! You can do it.
","Fry: Come on, Bender! You can do it.
",Fry
135,"Bender: Can't ... I ... can't ... do ... it!
","Bender: Can't ... I ... can't ... do ... it!
",Bender
136,"Fry: Yes!
","Fry: Yes!
",Fry
137,"Bender I want! I'm unstoppable!
","Bender I want! I'm unstoppable!
","Bender I want! I'm unstoppable!
"
138,"Fry: I don't know how you did that.
","Fry: I don't know how you did that.
",Fry
139,"Leela: Wait!
","Leela: Wait!
",Leela
140,"Bender: No, thanks.
","Bender: No, thanks.
",Bender
141,"Bender: Looks like one of us will have to bend this grate.
","Bender: Looks like one of us will have to bend this grate.
",Bender
142,"Fry: Good Lord! What is this?
","Fry: Good Lord! What is this?
",Fry
143,"Bender. Welcome home, pal!
","Bender. Welcome home, pal!
","Bender. Welcome home, pal!
"
144,"Fry: It's my old neighbourhood. Man, this brings back a lot of memories.
","Fry: It's my old neighbourhood. Man, this brings back a lot of memories.
",Fry
145,"Bender: Keep 'em to yourself, Pops!
","Bender: Keep 'em to yourself, Pops!
",Bender
146,"Fry: This is where I brought my girlfriend on our very first date.
","Fry: This is where I brought my girlfriend on our very first date.
",Fry
147,"Fry: My God! She's gone. Everyone I ever knew or cared about is gone.
","Fry: My God! She's gone. Everyone I ever knew or cared about is gone.
",Fry
148,"Bender: Wait! There's someone you know!
","Bender: Wait! There's someone you know!
",Bender
149,"Fry: Oh, can't you leave me alone? I'm miserable enough already.
","Fry: Oh, can't you leave me alone? I'm miserable enough already.
",Fry
150,"Leela: Look, I know it's not much consolation but I understand how you feel.
","Leela: Look, I know it's not much consolation but I understand how you feel.
",Leela
151,"Fry: No, you don't. I've got no home, no family--
","Fry: No, you don't. I've got no home, no family--
",Fry
152,"Bender: No friends.
","Bender: No friends.
",Bender
153,"Fry: My whole world is gone. You can't possibly understand what it feels like to be so alone.
","Fry: My whole world is gone. You can't possibly understand what it feels like to be so alone.
",Fry
154,"Leela: I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
","Leela: I understand. I'm the only one-eyed alien on this whole planet. My parents abandoned me here as a baby and I don't even know what galaxy they were from. I know how it feels to be alone.
",Leela
155,"Fry Your chip. What are you doing?
","Fry Your chip. What are you doing?
","Fry Your chip. What are you doing?
"
156,"Leela: Quitting.
","Leela: Quitting.
",Leela
157,"Fry: Why?
","Fry: Why?
",Fry
158,"Leela: Because I've always wanted to. I just never realised it before I met you.
","Leela: Because I've always wanted to. I just never realised it before I met you.
",Leela
159,"Fry: What is the matter with you?
","Fry: What is the matter with you?
",Fry
160,"Bender: I just wanted to be part of the moment.
","Bender: I just wanted to be part of the moment.
",Bender
161,"Leela: Hey! He stole my ring!
","Leela: Hey! He stole my ring!
",Leela
162,"Bender Well, that solves the mystery of the missing ring. This calls for a drink.
","Bender Well, that solves the mystery of the missing ring. This calls for a drink.
","Bender Well, that solves the mystery of the missing ring. This calls for a drink.
"
163,"Leela: I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
","Leela: I don't wanna spoil the party but we're all job deserters now. We're unemployed and we have nowhere to go.
",Leela
164,"Fry: Correction: We're unemployed but we have a doddering old relative to mooch off of.
","Fry: Correction: We're unemployed but we have a doddering old relative to mooch off of.
",Fry
165,"Clark!
","Clark!
","Clark!
"
166,"Farnsworth: Who are you?
","Farnsworth: Who are you?
",Farnsworth
167,"Fry: I'm your dear old Uncle Fry.
","Fry: I'm your dear old Uncle Fry.
",Fry
168,"Farnsworth: I don't have an Uncle Fry.
","Farnsworth: I don't have an Uncle Fry.
",Farnsworth
169,"Bender: You do now!
","Bender: You do now!
",Bender
170,"Farnsworth your nephew! This is absolutely incredible!
","Farnsworth your nephew! This is absolutely incredible!
","Farnsworth your nephew! This is absolutely incredible!
"
171,"Bender: Can we have some money?
","Bender: Can we have some money?
",Bender
172,"Farnsworth: Oh, my, no.
","Farnsworth: Oh, my, no.
",Farnsworth
173,"Farnsworth And here's where I keep assorted lengths of wire.
","Farnsworth And here's where I keep assorted lengths of wire.
","Farnsworth And here's where I keep assorted lengths of wire.
"
174,"Fry: Whoa! A real live spaceship!
","Fry: Whoa! A real live spaceship!
",Fry
175,"Farnsworth: I designed it myself. Let me show you some of the different lengths of wire I used.
","Farnsworth: I designed it myself. Let me show you some of the different lengths of wire I used.
",Farnsworth
176,"Smitty: Attention, job deserters! Come out with your hands up. We have you partially surrounded.
","Smitty: Attention, job deserters! Come out with your hands up. We have you partially surrounded.
",Smitty
177,"Fry: No!
","Fry: No!
",Fry
178,"Nixon: Get those bums!
","Nixon: Get those bums!
",Nixon
179,"Bender!
","Bender!
","Bender!
"
180,"Leela: Can't we get away in the ship?
","Leela: Can't we get away in the ship?
",Leela
181,"Farnsworth.
","Farnsworth.
","Farnsworth.
"
182,"Fry: I'll get us out of here.
","Fry: I'll get us out of here.
",Fry
183,"Farnsworth: Can anyone drive stick?
","Farnsworth: Can anyone drive stick?
",Farnsworth
184,"Leela: I can. As long as I don't have to parallel park.
","Leela: I can. As long as I don't have to parallel park.
",Leela
185,"URL: If they try to take off, give 'em an ass-ful of laser.
","URL: If they try to take off, give 'em an ass-ful of laser.
",URL
186,"Leela: Prepare for lift-off. Ten.
","Leela: Prepare for lift-off. Ten.
",Leela
187,"Crowd: Nine!
","Crowd: Nine!
",Crowd
188,"Crowd: Amania!
","Crowd: Amania!
",Crowd
189,"Crowd: Seven!
","Crowd: Seven!
",Crowd
190,"Aliens: Six.
","Aliens: Six.
",Aliens
191,"Terry: Five!
","Terry: Five!
",Terry
192,"Nimoy: Four.
","Nimoy: Four.
",Nimoy
193,"Farnsworth: Three.
","Farnsworth: Three.
",Farnsworth
194,"Bender: Two.
","Bender: Two.
",Bender
195,"Leela: One!
","Leela: One!
",Leela
196,"Fry: Blast-off!
","Fry: Blast-off!
",Fry
197,"Nixon!
","Nixon!
","Nixon!
"
198,"Smitty: I can't see nothing. Pretty though!
","Smitty: I can't see nothing. Pretty though!
",Smitty
199,"Fry: So, I guess, without jobs, we'll be fugitives forever.
","Fry: So, I guess, without jobs, we'll be fugitives forever.
",Fry
200,"Farnsworth: Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?
","Farnsworth: Not necessarily. Are you three, by any chance, interested in becoming my new spaceship crew?
",Farnsworth
201,"Bender: New crew? W-What happened to the old crew?
","Bender: New crew? W-What happened to the old crew?
",Bender
202,"Farnsworth: Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?
","Farnsworth: Of those poor sons of-- But that's not important. The important thing is I need a new crew. Anyone interested?
",Farnsworth
203,"Fry! That's exactly the job I've always wanted!
","Fry! That's exactly the job I've always wanted!
","Fry! That's exactly the job I've always wanted!
"
204,"Leela: Thanks for the offer, Professor, but we don't have the proper career chips.
","Leela: Thanks for the offer, Professor, but we don't have the proper career chips.
",Leela
205,"Farnsworth: Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew.
","Farnsworth: Oh, that won't be a problem. As luck would have it, I saved the chips from my previous crew.
",Farnsworth
206,"Fry?
","Fry?
","Fry?
"
207,"Farnsworth: If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research.
","Farnsworth: If by that you mean ""transporting cargo"" then yes. It's a little home business I started to fund my research.
",Farnsworth
208,"Fry: Cool! What's my job gonna be?
","Fry: Cool! What's my job gonna be?
",Fry
209,"Farnsworth: You will be responsible for ensuring that the cargo reaches its destination.
","Farnsworth: You will be responsible for ensuring that the cargo reaches its destination.
",Farnsworth
210,"Fry: So, I'm gonna be a delivery boy?
","Fry: So, I'm gonna be a delivery boy?
",Fry
211,"Farnsworth: Exactly!
","Farnsworth: Exactly!
",Farnsworth
212,"Fry: Alright! I'm a delivery boy!
","Fry: Alright! I'm a delivery boy!
",Fry
213,"Farnsworth.
","Farnsworth.
","Farnsworth.
"
214,"Fry: Wow!
","Fry: Wow!
",Fry
215,"Farnsworth: Not on the same channel, of course.
","Farnsworth: Not on the same channel, of course.
",Farnsworth
216,"Announcer: Interplanetary deliveries - what a headache!
","Announcer: Interplanetary deliveries - what a headache!
",Announcer
217,"Horrible Gelatinous Blob: Evans! Where's that package from Earth?
","Horrible Gelatinous Blob: Evans! Where's that package from Earth?
",Horrible Gelatinous Blob
218,"Man I'm not Evans!
","Man I'm not Evans!
","Man I'm not Evans!
"
219,"Horrible Gelatinous Blob!
","Horrible Gelatinous Blob!
","Horrible Gelatinous Blob!
"
220,"Announcer: When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery.
","Announcer: When those other companies aren't brave or foolhardy enough to go, trust Planet Express for reliable, on time delivery.
",Announcer
221,"Evans: Here's your package, Mr. Horrible Gelatinous Blob.
","Evans: Here's your package, Mr. Horrible Gelatinous Blob.
",Evans
222,"Horrible Gelatinous Blob: Good work, Evans! You've got a future around here.
","Horrible Gelatinous Blob: Good work, Evans! You've got a future around here.
",Horrible Gelatinous Blob
223,"Evans: Thank you, sir!
","Evans: Thank you, sir!
",Evans
224,"Announcer: Planet Express: Our crew is replaceable. Your package isn't.
","Announcer: Planet Express: Our crew is replaceable. Your package isn't.
",Announcer
225,"Fry: Are there really giant birds like that?
","Fry: Are there really giant birds like that?
",Fry
226,"Farnsworth: No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.
","Farnsworth: No, no! That was all just special effects! Now let's have breakfast. I hope everyone likes eggs.
",Farnsworth
227,"Fry?
","Fry?
","Fry?
"
228,"Leela.
","Leela.
","Leela.
"
229,"Farnsworth: Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you.
","Farnsworth: Ah, Hermes! Crew, meet Hermes Conrad. He manages my delivery business, pays the bills, notifies next of kin, what have you.
",Farnsworth
230,"Hermes: Someone come and dropped this package through the slot last night. Now which one of you is the captain?
","Hermes: Someone come and dropped this package through the slot last night. Now which one of you is the captain?
",Hermes
231,"Farnsworth: Oh, my! I haven't picked a new captain yet. It's always so hard to choose.
","Farnsworth: Oh, my! I haven't picked a new captain yet. It's always so hard to choose.
",Farnsworth
232,"Fry: Ooh! Ooh, ooh, ooh!
","Fry: Ooh! Ooh, ooh, ooh!
",Fry
233,"Farnsworth: Hmm, you!
","Farnsworth: Hmm, you!
",Farnsworth
234,"Hermes: OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen.
","Hermes: OK, Captain, this is just a standard legal release protecting Planet Express from lawsuits in the event of the unforeseen.
",Hermes
235,"Leela: Death by airlock failure.
","Leela: Death by airlock failure.
",Leela
236,"Hermes: Mm.
","Hermes: Mm.
",Hermes
237,"Leela: Death by brain parasite.
","Leela: Death by brain parasite.
",Leela
238,"Hermes: Yeah.
","Hermes: Yeah.
",Hermes
239,"Leela?
","Leela?
","Leela?
"
240,"Hermes: Oh, you don't want that!
","Hermes: Oh, you don't want that!
",Hermes
241,"Leela: Look, I don't know about any of your previous captains but I intend to do as little dying as possible.
","Leela: Look, I don't know about any of your previous captains but I intend to do as little dying as possible.
",Leela
242,"Hermes: Sign the paper!
","Hermes: Sign the paper!
",Hermes
243,"Farnsworth: Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual. He wears sandals!
","Farnsworth: Now, Fry, before you go into space you'll need to see our staff doctor. I should warn you though, he's a little ... unusual. He wears sandals!
",Farnsworth
244,"Fry: Hi--
","Fry: Hi--
",Fry
245,"Farnsworth: Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.
","Farnsworth: Dr. Zoidberg, this is Fry, the new delivery boy. He needs a physical.
",Farnsworth
246,"Zoidberg: Excellent, excellent!
","Zoidberg: Excellent, excellent!
",Zoidberg
247,"Farnsworth: You'll be fine.
","Farnsworth: You'll be fine.
",Farnsworth
248,"Zoidberg mouth!
","Zoidberg mouth!
","Zoidberg mouth!
"
249,"Fry: I only have one.
","Fry: I only have one.
",Fry
250,"Zoidberg: Really?
","Zoidberg: Really?
",Zoidberg
251,"Fry: Uh, is there a human doctor around?
","Fry: Uh, is there a human doctor around?
",Fry
252,"Zoidberg? My mother was a saint! Get out!
","Zoidberg? My mother was a saint! Get out!
","Zoidberg? My mother was a saint! Get out!
"
253,"Farnsworth: Dear Lord, Bender, you're filthy.
","Farnsworth: Dear Lord, Bender, you're filthy.
",Farnsworth
254,"Bender: Yeah, like you don't have crap in your neck!
","Bender: Yeah, like you don't have crap in your neck!
",Bender
255,"Farnsworth: Amy, why don't you give his body a going over with the cleaning pick?
","Farnsworth: Amy, why don't you give his body a going over with the cleaning pick?
",Farnsworth
256,"Amy: OK. Does it hurt when I go like this?
","Amy: OK. Does it hurt when I go like this?
",Amy
257,"Leela: Ow!
","Leela: Ow!
",Leela
258,"Bender: A little.
","Bender: A little.
",Bender
259,"Fry: Well, the doctor says I'm as healthy as a crab. Can I go into space now?
","Fry: Well, the doctor says I'm as healthy as a crab. Can I go into space now?
",Fry
260,"Farnsworth: As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. I like having her around because she's the same blood type as me.
","Farnsworth: As soon as we finish cleaning Bender. Oh, and Fry, this is our intern, Amy Wong. She's an engineering student of mine. I like having her around because she's the same blood type as me.
",Farnsworth
261,"Amy, right?
","Amy, right?
","Amy, right?
"
262,"Fry: Last time I checked.
","Fry: Last time I checked.
",Fry
263,"Leela?
","Leela?
","Leela?
"
264,"Amy: Look, we're not as rich as everybody says.
","Amy: Look, we're not as rich as everybody says.
",Amy
265,"Leela: Uh-huh! What sorority do you belong to?
","Leela: Uh-huh! What sorority do you belong to?
",Leela
266,"Amy.
","Amy.
","Amy.
"
267,"Bender Alright, show's over, I'm tired.
","Bender Alright, show's over, I'm tired.
","Bender Alright, show's over, I'm tired.
"
